filename,boundary_recall,class_homogeneity,undersegmentation_error,achievable_segmentation_accuracy,num_superpixels,mean_num_pixels_per_superpixels
1.npy,1.0765853658536586,0.9661654135338346,0.027281908684303722,0.9863590456578482,1064,286.6203007518797
10.npy,1.0440186431900569,0.9821052631578947,0.014088164762827432,0.9929384202247771,1900,285.75684210526316
11.npy,1.0269516728624535,0.9937156323644933,0.0030574620579177773,0.9984712689710411,2546,284.41869599371563
12.npy,0.8721867185329258,0.9365079365079365,0.07565036786707502,0.9619661149917776,693,286.93939393939394
13.npy,0.9867476532302595,0.9369369369369369,0.057492786543065874,0.9708304464888663,777,293.4954954954955
14.npy,0.6952452265069262,0.9642857142857143,0.02876060417959859,0.9856093523691289,672,287.67857142857144
15.npy,0.8348205021788753,0.9438334642576591,0.04926187286813141,0.9749865355668181,2546,284.41869599371563
16.npy,0.9726659566915158,0.9469756480754125,0.06054990126082333,0.9694143316807755,2546,284.41869599371563
17.npy,1.1453763440860214,0.9238095238095239,0.0499952928667549,0.9750023535666226,630,286.6301587301587
18.npy,0.9472840605520926,0.9452631578947368,0.05705439663460653,0.9713889983755051,1900,285.75684210526316
19.npy,1.051948051948052,0.9389473684210526,0.04369191325713065,0.9780822119652705,1900,285.75684210526316
2.npy,1.1069285324604474,0.9687074829931973,0.025379139585267718,0.9872494677508605,735,290.130612244898
20.npy,1.2000610873549176,0.9760408483896308,0.01661303909519009,0.9915802411169266,2546,284.41869599371563
21.npy,1.0941375422773394,0.9659340659340659,0.033478473449368426,0.9832607632753158,910,285.4384615384615
22.npy,1.16104513064133,0.978421052631579,0.011397249778059374,0.9943013751109703,1900,285.75684210526316
23.npy,1.311866428145498,0.9805263157894737,0.004995045474805595,0.9975024772625972,1900,285.75684210526316
24.npy,1.100855310049893,0.9586466165413534,0.023284715572985663,0.9882838630133393,1064,286.6203007518797
25.npy,1.0382307560432025,0.9489473684210527,0.05145154695379583,0.9742733056076385,1900,285.75684210526316
26.npy,1.3771551724137931,0.9867724867724867,0.004199872787817562,0.9979000636060912,756,282.8253968253968
27.npy,1.3147321428571428,0.9964650432050275,0.00489138690566611,0.9975543065471669,2546,284.41869599371563
3.npy,1.033096926713948,0.9935649935649936,0.005057986198923371,0.9974303623685827,777,284.983268983269
4.npy,1.3833243096913914,0.9773684210526316,0.007595710744136531,0.9962021446279318,1900,285.75684210526316
5.npy,0.788135593220339,0.9933228593872742,0.010880642978470717,0.9943159377459848,2546,284.41869599371563
6.npy,1.1156174334140436,0.9866457187745483,0.01015011116788422,0.994848991203237,2546,284.41869599371563
7.npy,1.0342194570135748,0.9760408483896308,0.023378398906273735,0.9883073481280985,2546,284.41869599371563
8.npy,0.9616003679006668,0.9366554054054054,0.05040897626287627,0.9746540791551752,1184,286.6418918918919
9.npy,1.324764353041988,0.9799685781618225,0.01239004046234792,0.9938049797688261,2546,284.41869599371563
