filename,boundary_recall,class_homogeneity,undersegmentation_error,achievable_segmentation_accuracy,num_superpixels,mean_num_pixels_per_superpixels
42463520.npy,0.6819923371647509,0.9340659340659341,0.02922572813318608,0.985387135933407,91,1203.967032967033
42795613.npy,0.8425760286225402,0.8674698795180723,0.028842380043993757,0.9855788099780031,83,1320.012048192771
42925587.npy,1.2394366197183098,0.8985507246376812,0.004563667728480025,0.99771816613576,69,1587.840579710145
42960140.npy,0.939873417721519,0.9770114942528736,0.010332143737278776,0.9948339281313606,87,1259.3218390804598
43079279.npy,1.1893939393939394,0.9130434782608695,0.007447905732879401,0.9962760471335603,92,1190.8804347826087
43189696.npy,1.1866359447004609,0.9101123595505618,0.008123328556694445,0.9959383357216528,89,1231.0224719101125
43311605.npy,1.124413145539906,0.970873786407767,0.01290605233614151,0.9935469738319292,103,1063.6990291262136
43311685.npy,1.2344398340248963,0.898876404494382,0.005713711996056991,0.9971431440019715,89,1231.0224719101125
43752579.npy,1.220496894409938,0.7319587628865979,0.039557871870464854,0.9802210640647676,97,1129.4948453608247
43769828.npy,1.0917782026768643,0.9139784946236559,0.017433210722793694,0.9912833946386032,93,1178.0752688172042
43769992.npy,1.0668789808917198,0.97,0.005859749363368352,0.9970701253183158,100,1095.61
43783081.npy,0.8614864864864865,0.95,0.015133122187639762,0.9924334389061801,100,1095.61
43788959.npy,1.0915841584158417,0.9156626506024096,0.013855295223665355,0.9930723523881673,83,1320.012048192771
43789633.npy,0.6088516746411483,0.8333333333333334,0.09950621115177846,0.9502468944241108,84,1304.297619047619
43789853.npy,0.6109271523178808,0.7872340425531915,0.11850932357316929,0.9407453382134153,94,1165.5425531914893
43790150.npy,0.8003731343283582,0.9230769230769231,0.03252982356860562,0.9837350882156972,91,1203.967032967033
43937195.npy,0.9100449775112444,0.881578947368421,0.027893137156469912,0.986053431421765,76,1441.592105263158
43950094.npy,1.2385964912280703,0.8470588235294118,0.00925511815335749,0.9953724409233212,85,1288.9529411764706
44057738.npy,0.6490765171503958,0.868421052631579,0.044231067624428404,0.9778844661877858,76,1441.592105263158
44139970.npy,1.316326530612245,0.9418604651162791,0.0013143363058022472,0.9993428318470988,86,1273.9651162790697
44159646.npy,0.625,0.95,0.019678535245205866,0.9901607323773971,80,1369.5125
44213691.npy,0.886986301369863,0.9764705882352941,0.0108980385356103,0.9945509807321948,85,1288.9529411764706
44214679.npy,0.8765323992994746,0.7671232876712328,0.09457745000502003,0.95271127499749,73,1500.835616438356
44239359.npy,1.0235849056603774,0.9642857142857143,0.007557433758362921,0.9962212831208186,84,1304.297619047619
44239378.npy,1.18503937007874,0.9719626168224299,0.005056543843155867,0.9974717280784221,107,1023.9345794392524
44240128.npy,1.2347417840375587,0.8,0.015936327707852246,0.9920318361460739,90,1217.3444444444444
44505399.npy,0.6647727272727273,0.8529411764705882,0.05841494692454432,0.9707925265377279,68,1611.1911764705883
44552252.npy,0.6351766513056836,0.7323943661971831,0.1253365704949754,0.9373317147525123,71,1543.112676056338
44599571.npy,0.8387799564270153,0.7625,0.07458858535427752,0.9627057073228612,80,1369.5125
44602134.npy,0.9128440366972477,0.8441558441558441,0.02553828460857422,0.9872308576957128,77,1422.8701298701299
44609586.npy,0.8560606060606061,0.9090909090909091,0.020719051487299314,0.9896404742563504,88,1245.0113636363637
44624338.npy,0.44197952218430037,0.8695652173913043,0.05600533036390686,0.9719973348180466,69,1587.840579710145
44651102.npy,0.3979381443298969,0.9259259259259259,0.017542738748277217,0.9912286306258614,81,1352.6049382716049
44652186.npy,0.7280876494023905,0.8192771084337349,0.07842206624620075,0.9607889668768996,83,1320.012048192771
44671556.npy,0.7253521126760564,0.8571428571428571,0.0896486888582616,0.9551756555708691,98,1117.969387755102
44685449.npy,0.6030701754385965,0.868421052631579,0.018948348408649063,0.9905258257956755,76,1441.592105263158
44804368.npy,0.43341213553979513,0.8902439024390244,0.022361971869552123,0.988819014065224,82,1336.1097560975609
44911716.npy,0.6713576158940397,0.7837837837837838,0.09435839395405299,0.9528208030229735,74,1480.554054054054
44916258.npy,0.4693200663349917,0.7875,0.11787041009118208,0.941064794954409,80,1369.5125
45050576.npy,0.5537254901960784,0.8589743589743589,0.02391361889723533,0.9880431905513823,78,1404.628205128205
45059355.npy,0.6912568306010929,0.7659574468085106,0.10540246985697466,0.9472987650715127,94,1165.5425531914893
45059518.npy,0.6711409395973155,0.8181818181818182,0.10593185531347833,0.9470340723432609,77,1422.8701298701299
45062861.npy,0.8703271028037384,0.7972972972972973,0.06704940626682852,0.9664752968665857,74,1480.554054054054
45082213.npy,0.5085616438356164,0.8809523809523809,0.08152536030156717,0.9592373198492165,84,1304.297619047619
45095891.npy,0.7205414012738853,0.7272727272727273,0.1126130648679731,0.9436934675660135,77,1422.8701298701299
45168126.npy,0.6892583120204604,0.8586956521739131,0.058944332381048,0.970527833809476,92,1190.8804347826087
45177362.npy,0.7869822485207101,0.8956521739130435,0.056370423782185264,0.9718147881089073,115,952.704347826087
45265266.npy,0.6681159420289855,0.8611111111111112,0.04921459278392859,0.9753927036080358,72,1521.6805555555557
45277581.npy,0.6289398280802292,0.891566265060241,0.10266426921988664,0.9486678653900567,83,1320.012048192771
45317325.npy,0.6975308641975309,0.9,0.05724664798605343,0.9713766760069733,70,1565.1571428571428
45358428.npy,0.570627802690583,0.8412698412698413,0.09976177654457334,0.9501191117277134,63,1739.063492063492
45441053.npy,0.5567846607669616,0.696969696969697,0.13218207208769545,0.9339089639561523,66,1660.0151515151515
45449248.npy,0.7492088607594937,0.7555555555555555,0.10456275499493432,0.9477186225025328,90,1217.3444444444444
45564959.npy,0.6586538461538461,0.9154929577464789,0.050145581000538515,0.9749272094997308,71,1543.112676056338
45640751.npy,0.8768996960486323,0.9102564102564102,0.05910862441927328,0.9704456877903633,78,1404.628205128205
45693870.npy,0.5188172043010753,0.85,0.08714779894305455,0.9564261005284728,60,1826.0166666666667
45820050.npy,0.5042918454935622,0.7974683544303798,0.10343096539827128,0.9482845173008644,79,1386.8481012658228
45820285.npy,0.3984848484848485,0.8875,0.0864541214483256,0.9567729392758372,80,1369.5125
45907038.npy,0.4666030534351145,0.8505747126436781,0.1223428044650925,0.9388285977674538,87,1259.3218390804598
45980414.npy,0.5389784946236559,0.8,0.1554020134902018,0.9222989932548991,95,1153.2736842105264
45981305.npy,0.5794117647058824,0.8701298701298701,0.06969633354934694,0.9651518332253265,77,1422.8701298701299
46012368.npy,0.6885245901639344,0.7464788732394366,0.1101669389655078,0.9449165305172461,71,1543.112676056338
46087799.npy,0.5359778597785978,0.8125,0.11482188004855742,0.9425890599757213,80,1369.5125
46165035.npy,0.6702127659574468,0.6551724137931034,0.11341627038818558,0.9432918648059072,58,1888.9827586206898
46212003.npy,0.6588235294117647,0.7105263157894737,0.14837396518834256,0.9258130174058287,76,1441.592105263158
46212056.npy,0.8180970149253731,0.7402597402597403,0.11956809448617665,0.9402159527569117,77,1422.8701298701299
46438480.npy,0.6428571428571429,0.7441860465116279,0.12836684586668615,0.9358165770666569,86,1273.9651162790697
46447880.npy,0.7161144578313253,0.6933333333333334,0.14835571051742866,0.9258221447412857,75,1460.8133333333333
46469625.npy,0.6160583941605839,0.7368421052631579,0.14620165934958607,0.926899170325207,76,1441.592105263158
46602030.npy,0.7951635846372689,0.6666666666666666,0.12630406805341315,0.9368479659732935,81,1352.6049382716049
46751367.npy,1.415644171779141,0.6868686868686869,0.13574173291590985,0.9321291335420451,99,1106.6767676767677
46826811.npy,0.39447731755424065,0.84,0.11347103440092733,0.9432644827995363,75,1460.8133333333333
