filename,boundary_recall,class_homogeneity,undersegmentation_error,achievable_segmentation_accuracy,num_superpixels,mean_num_pixels_per_superpixels
42463520.npy,1.160919540229885,0.9214659685863874,0.02393187356814925,0.9880340632159254,191,573.6178010471205
42795613.npy,1.1627906976744187,0.9017341040462428,0.02395012823906317,0.9880249358804685,173,633.3005780346821
42925587.npy,1.4225352112676057,0.9333333333333333,0.004454139702996504,0.9977729301485018,165,664.0060606060606
42960140.npy,1.0727848101265822,0.9842931937172775,0.01106233057383558,0.9944688347130822,191,573.6178010471205
43079279.npy,1.3080808080808082,0.9574468085106383,0.007484415074707241,0.9962577924626463,188,582.7712765957447
43189696.npy,1.423963133640553,0.9397590361445783,0.008305875265833646,0.9958470623670832,166,660.0060240963855
43311605.npy,1.4694835680751173,0.9672897196261683,0.012267138854154307,0.9938664305729229,214,511.9672897196262
43311685.npy,1.545643153526971,0.9282051282051282,0.005093053184983707,0.9974534734075081,195,561.851282051282
43752579.npy,1.5351966873706004,0.8571428571428571,0.030832139173611047,0.9845839304131945,217,504.889400921659
43769828.npy,1.4225621414913958,0.9306930693069307,0.012449685563293508,0.9937751572183533,202,542.3811881188119
43769992.npy,1.085987261146497,0.9908256880733946,0.006626445541752996,0.9966867772291235,218,502.57339449541286
43783081.npy,1.1486486486486487,0.9707317073170731,0.014348171338341199,0.9928259143308295,205,534.4439024390244
43788959.npy,1.1212871287128714,0.9538461538461539,0.015352178238606804,0.9923239108806966,195,561.851282051282
43789633.npy,0.888755980861244,0.9105263157894737,0.06261352123474594,0.9686932393826271,190,576.6368421052632
43789853.npy,0.8120860927152318,0.8507462686567164,0.09112731720228913,0.9544363413988555,201,545.0796019900497
43790150.npy,1.0727611940298507,0.9411764705882353,0.024424749682825094,0.9877876251585874,187,585.8877005347593
43937195.npy,1.3568215892053972,0.8875,0.02022617537262347,0.9898869123136883,160,684.75625
43950094.npy,1.6105263157894736,0.9019607843137255,0.009711484926205494,0.9951442575368973,204,537.0637254901961
44057738.npy,1.1424802110817942,0.8766233766233766,0.02918921879135824,0.9854053906043209,154,711.4350649350649
44139970.npy,1.4489795918367347,0.9685863874345549,0.0013691003185440074,0.999315449840728,191,573.6178010471205
44159646.npy,0.875,0.9770114942528736,0.014056096603718477,0.9929719516981408,174,629.6609195402299
44213691.npy,1.0582191780821917,0.9815950920245399,0.009948795648086454,0.9950256021759568,163,672.1533742331288
44214679.npy,1.0989492119089317,0.8520710059171598,0.0802840426794206,0.9598579786602897,169,648.2899408284023
44239359.npy,1.349056603773585,0.9720670391061452,0.004399375690254744,0.9978003121548726,179,612.072625698324
44239378.npy,1.405511811023622,0.9714285714285714,0.004855742463102747,0.9975721287684486,210,521.7190476190476
44240128.npy,1.800469483568075,0.8916666666666667,0.013344164438075592,0.9933279177809622,240,456.50416666666666
44505399.npy,0.9474431818181818,0.9125,0.048447896605543946,0.975776051697228,160,684.75625
44552252.npy,0.9654377880184332,0.8202247191011236,0.08605251868821935,0.9569737406558904,178,615.5112359550562
44599571.npy,1.0860566448801743,0.8227848101265823,0.06463978970619107,0.9676801051469045,158,693.4240506329114
44602134.npy,1.110091743119266,0.9306930693069307,0.0217960770712206,0.9891019614643897,202,542.3811881188119
44609586.npy,0.9343434343434344,0.948051948051948,0.020974616880094193,0.9895126915599529,154,711.4350649350649
44624338.npy,0.6911262798634812,0.9230769230769231,0.04550889458840281,0.9772455527057986,156,702.3141025641025
44651102.npy,0.6237113402061856,0.9243243243243243,0.017542738748277217,0.9912286306258614,185,592.2216216216216
44652186.npy,1.0179282868525896,0.8763440860215054,0.061609514334480336,0.9691952428327598,186,589.0376344086021
44671556.npy,1.017605633802817,0.8888888888888888,0.04782723779447066,0.9760863811027647,207,529.2801932367149
44685449.npy,0.8081140350877193,0.9079754601226994,0.014822792782103121,0.9925886036089484,163,672.1533742331288
44804368.npy,0.524822695035461,0.9192546583850931,0.022361971869552123,0.988819014065224,161,680.5031055900621
44911716.npy,0.9304635761589404,0.8300653594771242,0.0832778087093035,0.9583610956453482,153,716.0849673202614
44916258.npy,0.6716417910447762,0.8707865168539326,0.09939668312629495,0.9503016584368525,178,615.5112359550562
45050576.npy,0.7466666666666667,0.9101123595505618,0.023420742782559487,0.9882896286087203,178,615.5112359550562
45059355.npy,0.9854280510018215,0.8246445497630331,0.08378893949489326,0.9581055302525534,211,519.2464454976304
45059518.npy,1.087248322147651,0.8691099476439791,0.05682679055503327,0.9715866047224834,191,573.6178010471205
45062861.npy,1.0046728971962617,0.8636363636363636,0.04791851114904026,0.9760407444254798,154,711.4350649350649
45082213.npy,0.8681506849315068,0.9116022099447514,0.050601947773386516,0.9746990261133067,181,605.3093922651934
45095891.npy,1.0222929936305734,0.8176100628930818,0.06823595987623333,0.9658820200618833,159,689.062893081761
45168126.npy,1.0012787723785166,0.8994708994708994,0.038024479513695565,0.9809877602431523,189,579.6878306878307
45177362.npy,1.0251479289940828,0.9470404984423676,0.04583747866485337,0.9770812606675733,321,341.3115264797508
45265266.npy,0.8594202898550725,0.9058823529411765,0.045600167942972405,0.9771999160285137,170,644.4764705882353
45277581.npy,0.9914040114613181,0.9308510638297872,0.04956143153129307,0.9752192842343534,188,582.7712765957447
