filename,boundary_recall,class_homogeneity,undersegmentation_error,achievable_segmentation_accuracy,num_superpixels,mean_num_pixels_per_superpixels
42463520.npy,1.2164750957854407,0.8850574712643678,0.03937532516132566,0.9803123374193372,87,1259.3218390804598
42795613.npy,0.9552772808586762,0.9090909090909091,0.03680141656246292,0.9815992917187686,99,1106.6767676767677
42925587.npy,1.2169014084507042,0.9587628865979382,0.004910506475844506,0.9975447467620777,97,1129.4948453608247
42960140.npy,1.139240506329114,0.9693877551020408,0.0022818338642400125,0.99885908306788,98,1117.969387755102
43079279.npy,1.1388888888888888,0.9148936170212766,0.0068089922508921975,0.9965955038745539,94,1165.5425531914893
43189696.npy,1.327188940092166,0.9381443298969072,0.010532945117331898,0.994733527441334,97,1129.4948453608247
43311605.npy,1.136150234741784,0.9565217391304348,0.013526711147214793,0.9932366444263926,92,1190.8804347826087
43311685.npy,1.1535269709543567,0.8901098901098901,0.005896258705196192,0.9970518706474019,91,1203.967032967033
43752579.npy,1.3012422360248448,0.813953488372093,0.05175199204096348,0.9741240039795183,86,1273.9651162790697
43769828.npy,1.1950286806883366,0.9204545454545454,0.01276001496883015,0.993619992515585,88,1245.0113636363637
43769992.npy,1.197452229299363,0.979381443298969,0.002993766029882896,0.9985031169850586,97,1129.4948453608247
43783081.npy,1.0472972972972974,0.9540229885057471,0.013946568578234956,0.9930267157108825,87,1259.3218390804598
43788959.npy,0.8292079207920792,0.9259259259259259,0.022617537262347002,0.9886912313688265,81,1352.6049382716049
43789633.npy,0.8253588516746412,0.8260869565217391,0.05609660371847647,0.9719516981407618,92,1190.8804347826087
43789853.npy,0.5447019867549668,0.7888888888888889,0.10996613758545468,0.9450169312072727,90,1217.3444444444444
43790150.npy,0.7947761194029851,0.9166666666666666,0.023585034820784768,0.9882074825896077,96,1141.2604166666667
43937195.npy,0.8575712143928036,0.9361702127659575,0.02800266518195343,0.9859986674090233,94,1165.5425531914893
43950094.npy,1.0087719298245614,0.9368421052631579,0.021284946285630837,0.9893575268571846,95,1153.2736842105264
44057738.npy,0.5620052770448549,0.9263157894736842,0.040178530681538135,0.979910734659231,95,1153.2736842105264
44139970.npy,1.6428571428571428,0.9789473684210527,0.0015333923567692883,0.9992333038216153,95,1153.2736842105264
44159646.npy,1.05078125,0.9425287356321839,0.00918209946970181,0.9954089502651491,87,1259.3218390804598
44213691.npy,1.2226027397260273,0.9693877551020408,0.007703471125674282,0.9961482644371629,98,1117.969387755102
44214679.npy,0.7828371278458844,0.7802197802197802,0.07539179087449001,0.962304104562755,91,1203.967032967033
44239359.npy,0.9292452830188679,0.9787234042553191,0.008196347240350125,0.9959018263798249,94,1165.5425531914893
44239378.npy,1.3818897637795275,0.978021978021978,0.003961263588320662,0.9980193682058397,91,1203.967032967033
44240128.npy,1.301643192488263,0.8505747126436781,0.023219941402506366,0.9883900292987469,87,1259.3218390804598
44505399.npy,0.8835227272727273,0.8958333333333334,0.04412153959894488,0.9779392302005275,96,1141.2604166666667
44552252.npy,0.7235023041474654,0.7311827956989247,0.09229561614078002,0.95385219192961,93,1178.0752688172042
44599571.npy,0.9618736383442266,0.8043478260869565,0.06084281815609569,0.9695785909219522,92,1190.8804347826087
44602134.npy,0.7408256880733946,0.8977272727272727,0.03639981380235668,0.9818000930988217,88,1245.0113636363637
44609586.npy,1.202020202020202,0.9191919191919192,0.019112640446874343,0.9904436797765628,99,1106.6767676767677
44624338.npy,0.6160409556313993,0.8913043478260869,0.05374175117058077,0.9731291244147097,92,1190.8804347826087
44651102.npy,0.4515463917525773,0.925531914893617,0.017542738748277217,0.9912286306258614,94,1165.5425531914893
44652186.npy,0.8695219123505976,0.7777777777777778,0.08415403291317165,0.9579229835434142,90,1217.3444444444444
44671556.npy,0.8145539906103286,0.8421052631578947,0.07046302972773158,0.9647684851361342,95,1153.2736842105264
44685449.npy,0.44956140350877194,0.9010989010989011,0.018948348408649063,0.9905258257956755,91,1203.967032967033
44804368.npy,0.5185185185185185,0.8865979381443299,0.01644745849344201,0.991776270753279,97,1129.4948453608247
44911716.npy,0.9685430463576159,0.7934782608695652,0.07154005531165288,0.9642299723441735,92,1190.8804347826087
44916258.npy,0.5240464344941956,0.7951807228915663,0.11830852219311616,0.9408457389034419,83,1320.012048192771
45050576.npy,0.611764705882353,0.8645833333333334,0.02889714405673552,0.9855514279716322,96,1141.2604166666667
45059355.npy,0.5956284153005464,0.7764705882352941,0.10633345807358457,0.9468332709632077,85,1288.9529411764706
45059518.npy,0.9720357941834452,0.7752808988764045,0.06610016337930467,0.9669499183103477,89,1231.0224719101125
45062861.npy,0.8014018691588785,0.8404255319148937,0.05452670201987934,0.9727366489900603,94,1165.5425531914893
45082213.npy,0.7106164383561644,0.8426966292134831,0.06798039448343846,0.9660098027582807,89,1231.0224719101125
45095891.npy,0.9880573248407644,0.7096774193548387,0.07212420478089832,0.9639378976095508,93,1178.0752688172042
45168126.npy,0.7148337595907929,0.8735632183908046,0.06436596964248227,0.9678170151787588,87,1259.3218390804598
45177362.npy,0.8062130177514792,0.8414634146341463,0.04247861921669207,0.9787606903916539,82,1336.1097560975609
45265266.npy,0.8956521739130435,0.8241758241758241,0.04589224267759513,0.9770538786612024,91,1203.967032967033
45277581.npy,0.8567335243553008,0.8936170212765957,0.052719489599401245,0.9736402552002994,94,1165.5425531914893
45317325.npy,0.8148148148148148,0.8888888888888888,0.0295178028678088,0.9852410985660957,90,1217.3444444444444
45358428.npy,0.6390134529147982,0.8333333333333334,0.05744744936610655,0.9712762753169467,90,1217.3444444444444
45441053.npy,0.577433628318584,0.7684210526315789,0.1009118208121503,0.9495440895939249,95,1153.2736842105264
45449248.npy,0.7579113924050633,0.7386363636363636,0.09591004098173621,0.9520449795091319,88,1245.0113636363637
45564959.npy,0.78125,0.8850574712643678,0.03468387473644819,0.9826580626317759,87,1259.3218390804598
45640751.npy,1.080547112462006,0.8260869565217391,0.039338815819497816,0.9803305920902511,92,1190.8804347826087
45693870.npy,0.6693548387096774,0.8571428571428571,0.05943720849572384,0.9702813957521381,91,1203.967032967033
45820050.npy,0.5772532188841202,0.8295454545454546,0.09021458365659313,0.9548927081717035,88,1245.0113636363637
45820285.npy,0.6833333333333333,0.8426966292134831,0.05372349649966685,0.9731382517501665,89,1231.0224719101125
45907038.npy,0.4580152671755725,0.8023255813953488,0.0867461961829483,0.9566269019085258,86,1273.9651162790697
45980414.npy,0.6088709677419355,0.7032967032967034,0.11765135404021504,0.9411743229798925,91,1203.967032967033
45981305.npy,0.4514705882352941,0.8701298701298701,0.060788054143353934,0.9696059729283231,77,1422.8701298701299
46012368.npy,0.6794171220400729,0.8,0.07358457845401192,0.963207710772994,95,1153.2736842105264
46087799.npy,0.724169741697417,0.7894736842105263,0.06821770520531942,0.9658911473973403,95,1153.2736842105264
46165035.npy,0.6390577507598785,0.7582417582417582,0.08402625021677422,0.9579868748916129,91,1203.967032967033
46212003.npy,0.8191176470588235,0.7684210526315789,0.10445322696945081,0.9477733865152745,95,1153.2736842105264
46212056.npy,1.037313432835821,0.7849462365591398,0.06613667272113252,0.9669316636394337,93,1178.0752688172042
46438480.npy,0.5952380952380952,0.7628865979381443,0.11876488896596417,0.9406175555170179,97,1129.4948453608247
46447880.npy,0.7868975903614458,0.7252747252747253,0.09687753854017396,0.951561230729913,91,1203.967032967033
46469625.npy,0.6459854014598541,0.7368421052631579,0.10823194384863227,0.9458840280756838,95,1153.2736842105264
